codsap,desproducto,desunidadnegocio,desmarca,descategoria,desgrupoarticulo,desclase,largo,ancho,volumen,pesobruto
200111234,ES TAC SUERO MULTIB 28ML,COSMETICOS,ESIKA,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,41,41,182,142
200098377,ES KROMO BLACK PARF 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,100,44,449,328
200107850,LB CONCE TO SUERO AH TER 30ML,COSMETICOS,LBEL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,42,42,212,130
210100407,CZ TRAX DES MAKEOUT CC 103G,COSMETICOS,CYZONE,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,53,53,406,207
200092025,CZ MISEXY PROVO COLONIA 200 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,42,42,379,217
200103394,ES PRO FULL BSTR  FR NEGRO,COSMETICOS,ESIKA,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,23,23,67,35
200106357,CZ AUTENTIK EDP 45 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,55,49,291,226
200110157,ES KROMO FIRE PARF 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,100,44,449,328
200113891,ES PULSO EDT EDL 100 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,63,49,509,328
200106556,CZ CYP MASC SECRET LASH 5.8 G,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,13,13,20,15
200113464,CZ ACAI BOMB COL 200 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,42,42,379,217
200106488,CZ SKIN F CR OJOS DETOX 15G,COSMETICOS,CYZONE,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,31,19,78,24
200104255,ES YOU LIVE EDT CC 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,62,32,321,260
200087691,ES STAR PROT SOL R&C 80 ML,COSMETICOS,ESIKA,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,73,40,345,130
200114991,LB MITHYKA LOC PERF CC 130 ML,COSMETICOS,LBEL,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,56,42,640,152
200099047,ES KALOS SPORT EDT CC 100ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,74,45,448,300
200106346,ES FIORI PARFUM CC 50ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,39,39,254,193
200106354,LB BLEU GLACIAL PARF 100ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,89,45,503,353
200106392,ES YOU EDT COL CC 50 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,51,30,194,156
200102089,CZ SL LL LIQ CCG DEEP RED,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,15,15,24,16
200106440,ES CFX 24H PIMIENTA CALIENTE,COSMETICOS,ESIKA,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,15,15,24,14
200110328,ES CFX DUO PIMIENTA CALIENTE,COSMETICOS,ESIKA,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,16,16,34,16
200106295,ES MIA SENS NG PARF 45 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,63,36,299,226
210102594,CY MINI BOLSO NURELIA,MODA,CYZONE,COMPLEMENTOS,COMPLEM. DE VESTIR,COMPLEM. DE VESTIR,200,60,2400,250
200113892,ES YOU REACO EDT CO 50 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,51,30,194,156
200091530,ES D'ORSAY INFINITE PARF 90ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,83,38,426,288
200101110,LB NOCTURNE SERUM CC 30ML,COSMETICOS,LBEL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,46,35,227,148
200101369,LB MITHYKA ELIXIR PARFUM 50 ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,42,292,226
200100855,CZ SKIN F BLOQUEADOR 50 ML,COSMETICOS,CYZONE,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,47,30,171,63
200110733,LB CONCE TO CR ROSTRO CCF 50G,COSMETICOS,LBEL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,86,97,592,506
200109613,CZCYP CREAMYLIPBA CORAL CREAMY,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,0,0,0,0
200106161,CZ SWEET BLACK LOC PERF 130 ML,COSMETICOS,CYZONE,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,TRATAMIENTO CORPORAL,56,42,407,152
210095249,CZ TRAX DES MYSTER CC 103 G,COSMETICOS,CYZONE,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,53,53,406,207
200102108,CZ SL LL LIQ CCG RUBY RED,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,15,15,24,16
200104065,LB NOCTURNE MIST NIGHT 50 ML,COSMETICOS,LBEL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,45,45,241,162
200098648,ES PERFECTBLOCK FACIAL 50ML,COSMETICOS,ESIKA,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,TRATAMIENTO FACIAL,47,30,171,63
200100926,ES VANIL HO EDT QUP 75 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,82,38,375,255
200108408,ES YOU COL CC PE 90ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,62,32,321,260
200109610,CZCYP CREALIPBA FUCHSIA CREAMY,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,18,18,29,16
200095903,ES MIA PARFUM 45 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,63,36,299,226
200094149,CZ SWEET CHIC EDP 50ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,68,47,326,194
200105000,LB BRI V AQUA COL NV CC 100ML,COSMETICOS,LBEL,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,55,46,473,312
200108768,ES ÉSENS TRAT OLEO CCC 60ML,COSMETICOS,ESIKA,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,42,29,163,76
200098519,ES MAGNAT IMPERIUM PARFUM 90ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,76,39,406,288
200104257,ES YOU EMOTION EDT CC 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,62,32,321,260
200095426,CZ GIRLINK DES ROLL ON 50ML,COSMETICOS,CYZONE,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,48,48,245,80
200106604,CZ CYP LINE4 PINCC BLACK MAGIC,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,15,15,20,10
200106441,ES CFX LL 24H ROJO SEDUCTOR,COSMETICOS,ESIKA,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,15,15,24,14
200099099,CZ NITRO ADVENTURE EDT 100ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,90,547,308
200095500,ES EXPRESS COLORS EDP 50 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,48,43,357,218
200108807,ES FIORI DESOD ROLL ON CC 50ML,COSMETICOS,ESIKA,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,48,48,245,80
200106284,ES IMPRED DEEP ROSÉ EDP 50 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,77,41,320,225
200091731,ES CARDIGAN EDT CL CC 90 ML,COSMETICOS,ESIKA,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,70,38,340,290
