codsap,desproducto,desunidadnegocio,desmarca,descategoria,desgrupoarticulo,desclase,largo,ancho,volumen,pesobruto
200105011,CZ DANCING NIGHT EDP CC 90 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,41,326,277
200095911,CZ SANDIA SHAKE COL CC 200 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,42,42,379,217
210095652,CZ SL DELINEADO PLUMON CCG 1ML,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,136,10,13,7
210095652,CZ SL DELINEADO PLUMON CCG 1ML,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,136,10,13,7
200097947,CZ SWEET BLACK INTENS EDP 50ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,68,47,326,194
200109872,CZ IDENTITY EDP 50 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,38,69,274,185
200094936,CZ TASTE COOL COL 200 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,42,42,379,217
200092333,CZ AINNARA EDP 50 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,53,71,425,190
200105017,CZ PRINTS EDP CC 30 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,26,26,123,68
200039855,CZ NITRO EDT 100 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,90,547,308
210095652,CZ SL DELINEADO PLUMON CCG 1ML,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,136,10,13,7
200105017,CZ PRINTS EDP CC 30 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,26,26,123,68
200108047,CZ BERRYLI BERRY COL EDL 200ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,42,42,379,217
210095652,CZ SL DELINEADO PLUMON CCG 1ML,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,136,10,13,7
200106356,CZ GIRLINK EDP CC 50ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,107,34,309,188
200105017,CZ PRINTS EDP CC 30 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,26,26,123,68
200097947,CZ SWEET BLACK INTENS EDP 50ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,68,47,326,194
200097947,CZ SWEET BLACK INTENS EDP 50ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,68,47,326,194
200105011,CZ DANCING NIGHT EDP CC 90 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,41,326,277
200097947,CZ SWEET BLACK INTENS EDP 50ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,68,47,326,194
200089168,CZ SWEET BLACK EDP 50 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,68,47,326,194
200109874,CZ SWEETB EXCLSIVE EDP 50 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,64,288,188
200105005,CZ DANCING EDP CC 90 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,41,326,277
200109890,CZ SL MASC MAGNETIC LASH BLACK,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,20,20,54,32
200109890,CZ SL MASC MAGNETIC LASH BLACK,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,20,20,54,32
200089168,CZ SWEET BLACK EDP 50 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,68,47,326,194
200111162,CZ NITRO NIGTH EDT 100 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,90,547,308
200060760,CZ NITRO AIR EDT 100 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,90,547,308
200105017,CZ PRINTS EDP CC 30 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,26,26,123,68
200105008,CZ DANCING SUNSET EDP 90 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,41,326,277
200105005,CZ DANCING EDP CC 90 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,41,326,277
200109890,CZ SL MASC MAGNETIC LASH BLACK,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,20,20,54,32
200106356,CZ GIRLINK EDP CC 50ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,107,34,309,188
200109890,CZ SL MASC MAGNETIC LASH BLACK,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,20,20,54,32
200039855,CZ NITRO EDT 100 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,90,547,308
200105008,CZ DANCING SUNSET EDP 90 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,41,326,277
200103449,CZ DANC NIGHT ROLL ON CC 50 ML,COSMETICOS,CYZONE,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,48,48,245,80
200095430,CZ NITRO DESO ROLLON 50ML,COSMETICOS,CYZONE,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,48,48,245,80
200109872,CZ IDENTITY EDP 50 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,38,69,274,185
200105008,CZ DANCING SUNSET EDP 90 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,41,326,277
200105011,CZ DANCING NIGHT EDP CC 90 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,41,326,277
200109890,CZ SL MASC MAGNETIC LASH BLACK,COSMETICOS,CYZONE,MAQUILLAJE,MAQUILLAJE,MAQUILLAJE,20,20,54,32
200108048,CZ BERRYL SEX COL EDL 200 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,42,42,379,217
200086172,CY NITRO INTENSE EDT 100 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,45,90,547,308
200105079,CZ PRINTS XPERIENCE PARF 30ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,26,26,123,68
200092742,CZ B&B HIM EDT CC 75 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,62,37,314,233
210100408,CZ TRAX DES SO CLOSE CC 103G,COSMETICOS,CYZONE,CUIDADO PERSONAL,CUIDADO PERSONAL,CUIDADO PERSONAL,53,53,406,207
200105005,CZ DANCING EDP CC 90 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,43,41,326,277
200099686,CZ TASTE POP COL 200ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,42,42,379,217
200089168,CZ SWEET BLACK EDP 50 ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,68,47,326,194
200105079,CZ PRINTS XPERIENCE PARF 30ML,COSMETICOS,CYZONE,FRAGANCIAS,FRAGANCIAS,FRAGANCIAS,26,26,123,68
