codsap,desproducto,desunidadnegocio,desmarca,descategoria
200105011,CZ DANCING NIGHT EDP CC 90 ML,COSMETICOS,CYZONE,FRAGANCIAS
200095911,CZ SANDIA SHAKE COL CC 200 ML,COSMETICOS,CYZONE,FRAGANCIAS
210095652,CZ SL DELINEADO PLUMON CCG 1ML,COSMETICOS,CYZONE,MAQUILLAJE
200097947,CZ SWEET BLACK INTENS EDP 50ML,COSMETICOS,CYZONE,FRAGANCIAS
200109872,CZ IDENTITY EDP 50 ML,COSMETICOS,CYZONE,FRAGANCIAS
200094936,CZ TASTE COOL COL 200 ML,COSMETICOS,CYZONE,FRAGANCIAS
200092333,CZ AINNARA EDP 50 ML,COSMETICOS,CYZONE,FRAGANCIAS
200105017,CZ PRINTS EDP CC 30 ML,COSMETICOS,CYZONE,FRAGANCIAS
200039855,CZ NITRO EDT 100 ML,COSMETICOS,CYZONE,FRAGANCIAS
200108047,CZ BERRYLI BERRY COL EDL 200ML,COSMETICOS,CYZONE,FRAGANCIAS
200106356,CZ GIRLINK EDP CC 50ML,COSMETICOS,CYZONE,FRAGANCIAS
200089168,CZ SWEET BLACK EDP 50 ML,COSMETICOS,CYZONE,FRAGANCIAS
200109874,CZ SWEETB EXCLSIVE EDP 50 ML,COSMETICOS,CYZONE,FRAGANCIAS
200105005,CZ DANCING EDP CC 90 ML,COSMETICOS,CYZONE,FRAGANCIAS
200109890,CZ SL MASC MAGNETIC LASH BLACK,COSMETICOS,CYZONE,MAQUILLAJE
200111162,CZ NITRO NIGTH EDT 100 ML,COSMETICOS,CYZONE,FRAGANCIAS
200060760,CZ NITRO AIR EDT 100 ML,COSMETICOS,CYZONE,FRAGANCIAS
200105008,CZ DANCING SUNSET EDP 90 ML,COSMETICOS,CYZONE,FRAGANCIAS
200103449,CZ DANC NIGHT ROLL ON CC 50 ML,COSMETICOS,CYZONE,CUIDADO PERSONAL
200095430,CZ NITRO DESO ROLLON 50ML,COSMETICOS,CYZONE,CUIDADO PERSONAL
200108048,CZ BERRYL SEX COL EDL 200 ML,COSMETICOS,CYZONE,FRAGANCIAS
200086172,CY NITRO INTENSE EDT 100 ML,COSMETICOS,CYZONE,FRAGANCIAS
200105079,CZ PRINTS XPERIENCE PARF 30ML,COSMETICOS,CYZONE,FRAGANCIAS
200092742,CZ B&B HIM EDT CC 75 ML,COSMETICOS,CYZONE,FRAGANCIAS
210100408,CZ TRAX DES SO CLOSE CC 103G,COSMETICOS,CYZONE,CUIDADO PERSONAL
200099686,CZ TASTE POP COL 200ML,COSMETICOS,CYZONE,FRAGANCIAS
200094066,CZ MISS SEX COL CC 200 ML,COSMETICOS,CYZONE,FRAGANCIAS
200092744,CZ B&B HER EDP CC 75 ML,COSMETICOS,CYZONE,FRAGANCIAS
200095964,CZ PERA IN LOVE COL CC 200 ML,COSMETICOS,CYZONE,FRAGANCIAS
200094941,CZ TASTE WARM COL 200 ML,COSMETICOS,CYZONE,FRAGANCIAS
200106360,CZ NITRO ULTIMATE EDP 90 ML,COSMETICOS,CYZONE,FRAGANCIAS
200101481,CZ UVA KISS COL 200 ML,COSMETICOS,CYZONE,FRAGANCIAS
200112748,ES PRO DEL PL NEGRO EXTREMO,COSMETICOS,ESIKA,MAQUILLAJE
200109443,ES VIBRANZA ADDICT PARF 45 ML,COSMETICOS,ESIKA,FRAGANCIAS
210092742,ES CFX DELOJO REC NEGRO 1.2ML,COSMETICOS,ESIKA,MAQUILLAJE
200106312,ES COLORS REDROSE COL 200ML,COSMETICOS,ESIKA,FRAGANCIAS
200099310,ES MEN COOL ICE COL 200ML,COSMETICOS,ESIKA,FRAGANCIAS
200094217,ES DORSAY PERFUME CC 90 ML,COSMETICOS,ESIKA,FRAGANCIAS
200104254,ES YOU COL EDT CC 90 ML,COSMETICOS,ESIKA,FRAGANCIAS
200103405,ES PRO FULL VOLUME NEGRO,COSMETICOS,ESIKA,MAQUILLAJE
200105041,ES SALVAJE COLOGNE CC 90 ML,COSMETICOS,ESIKA,FRAGANCIAS
200105219,ES TAC ACLA ACLARANT 120G,COSMETICOS,ESIKA,TRATAMIENTO FACIAL
200100539,ES WINNER SPORT EDT CC 100ML,COSMETICOS,ESIKA,FRAGANCIAS
200106398,ES COLORS PURPBERRY COL 200ML,COSMETICOS,ESIKA,FRAGANCIAS
200101424,ES MAGN ABSOLUTE EDT 100 ML,COSMETICOS,ESIKA,FRAGANCIAS
200111352,ES MAGNAT EXCLUSIVE EDT 90 ML,COSMETICOS,ESIKA,FRAGANCIAS
200106348,ES EXUS COLONIA CC 100ML,COSMETICOS,ESIKA,FRAGANCIAS
200098555,ES VIBRANZA BLA PARF 2020 45ML,COSMETICOS,ESIKA,FRAGANCIAS
200103327,ES PRO MAS MEGA MULTI NEGRO 8G,COSMETICOS,ESIKA,MAQUILLAJE
200106274,ES RED POWER PARF 50 ML,COSMETICOS,ESIKA,FRAGANCIAS
200100838,ES MAGNAT PARF CC 90ML,COSMETICOS,ESIKA,FRAGANCIAS
200105215,ES TAC NUTR 25+ HIDR NUTR 200G,COSMETICOS,ESIKA,TRATAMIENTO FACIAL
200099047,ES KALOS SPORT EDT CC 100ML,COSMETICOS,ESIKA,FRAGANCIAS
200106397,ES COLORS PINKBLOSS COL 200ML,COSMETICOS,ESIKA,FRAGANCIAS
200105217,ES TAC NUTR 40+ HIDR REAF 200G,COSMETICOS,ESIKA,TRATAMIENTO FACIAL
200100866,ES MAGN SEL PARFUM CC 90 ML,COSMETICOS,ESIKA,FRAGANCIAS
200106396,ES COLORS GREENCOCO COL 200ML,COSMETICOS,ESIKA,FRAGANCIAS
200096892,ES DORSAY CLASS PARF 90ML,COSMETICOS,ESIKA,FRAGANCIAS
