codsap,sales_pitch
200105011,"💃 ¡Baila al ritmo de la noche con CZ Dancing Night EDP CC 90 ML! 💃
Nombre: CZ DANCING NIGHT EDP CC 90 ML. La fragancia que captura la esencia de una noche de baile, llena de energía y pasión, diseñada para mujeres jóvenes y audaces que viven cada momento al máximo.
Uso: Ideal para noches llenas de fiesta y diversión, esta fragancia te acompañará, dejando un aroma sensual y vibrante a tu paso.
Palabras clave: CZ Dancing Night, Fragancias, Cosméticos, Cyzone, Belleza Accesible, Alta Calidad, Mujeres Jóvenes, Latinoamérica, Energía, Pasión, Audacia."
200095911,"🍉 ¡Descubre la frescura de CZ Sandia Shake Col CC 200 ML! 🍉 
Nombre: CZ SANDIA SHAKE COL CC 200 ML. Una fragancia llena de vida y energía, creada para las mujeres jóvenes que aman experimentar nuevas sensaciones a través de su belleza.
Uso: La combinación perfecta entre la frescura de la sandía y un aroma duradero que te acompañará en todas tus aventuras. Ideal para uso diario, ya sea para ir al trabajo, la universidad o una salida con amigos, CZ Sandia Shake es el toque final que necesita tu estilo para destacarte.
Palabras clave: CZ Sandia Shake, Fragancias, Cosméticos, Cyzone, Belleza Joven, Alta Calidad, Estilo Fresco y Juvenil, Mujeres Audaces, Latinoamérica, Vibrante y Juguetona."
210095652,"💄 ¡Destaca tu mirada con el delineador CZ SL PLUMON CCG 1ML! 💄
Nombre: CZ SL DELINEADO PLUMON CCG 1ML. Este delineador en plumón de la marca Cyzone es perfecto para todas aquellas mujeres que aman experimentar y estar a la vanguardia en maquillaje. Con su punta precisa, te permitirá trazar líneas definidas para un delineado impecable.
Uso: Es ideal para cualquier ocasión, ya sea un día de trabajo o una noche de fiesta. Su fórmula de alta calidad garantiza una aplicación suave y duradera, lo cual hace que sea el aliado perfecto para realzar tus ojos.
Palabras clave: CZ SL Delineado Plumon CCG, Cosméticos, Maquillaje, Cyzone, Belleza Accesible, Alta Calidad, Mujeres Jóvenes, Latinoamérica, Delineador en Plumón, Líneas Definidas, Duradero."
200097947,"💫 ¡Envuelve tu piel con la intensidad de CZ Sweet Black Intens EDP 50ML! 💫
Nombre: CZ SWEET BLACK INTENS EDP 50ML. Una fragancia sofisticada y potente, creada para la mujer audaz que busca exaltar su personalidad a través de un aroma cautivante.
Uso: Ideal para las noches de eventos especiales o salidas con amigas, CZ Sweet Black es la elección perfecta para mujeres que buscan un aroma misterioso y duradero.
Palabras clave: CZ Sweet Black Intens, Fragancias, Cosméticos, Cyzone, Belleza Accesible, Alta Calidad, Mujeres Jóvenes, Latinoamérica, Aroma Cautivante, Tendencias Actuales."
200109872,"💎 ¡Descubre tu verdadera esencia con CZ Identity EDP 50 ML! 💎
Nombre: CZ IDENTITY EDP 50 ML. Un perfume sofisticado y moderno, creado para la mujer joven de hoy que no teme expresar su identidad única y auténtica. 
Uso: Ideal para uso diario o en ocasiones especiales, CZ Identity te proporciona un aroma distintivo que refleja tu personalidad audaz y vibrante.
Palabras clave: CZ Identity, Fragancias, Cosméticos, Cyzone, Identidad Única, Mujeres Jóvenes, Latinoamérica, Estilo Moderno, Perfume Distintivo, Autenticidad."
200094936,"🍃¡Experimenta una frescura sin igual con CZ Taste Cool Col 200 ML! 🍃
Nombre: CZ TASTE COOL COL 200 ML. Esta fragancia dinámica y refrescante es la última adición a la línea de fragancias Cyzone, ofreciendo un aroma único que te hará destacar.
Uso: Ya sea para un día caluroso de verano o una noche emocionante en la ciudad, esta fragancia es el accesorio perfecto que complementará tu estilo y personalidad audaz. 
Palabras clave: CZ Taste Cool, Fragancias, Cosméticos, Cyzone, Belleza Accesible, Alta Calidad, Mujeres Jóvenes, Latinoamérica, Fresco y Dinámico, Aroma Único."
200092333,"🌹 ¡Conviértete en una dama de misterio y sofisticación con CZ AINNARA EDP 50 ML! 🌹
Nombre: CZ AINNARA EDP 50 ML. Esta es una fragancia cautivadora y seductora que embriaga con su mezcla distintiva, diseñada para la mujer moderna que disfruta de marcar la diferencia con un aroma inolvidable.
Uso: Es el perfume ideal para cualquier ocasión, ya sea una reunión importante de trabajo o una velada romántica, este producto te ayudará a sentirte segura y hermosa durante todo el día. Su fragancia duradera se adhiere a tu piel creando un aura seductora alrededor tuyo.
Palabras clave: CZ AINNARA, Fragancias, Cosméticos, Cyzone, Belleza Accesible, Alta Calidad, Mujeres Modernas, Latinoamérica, Sofisticación, Seducción."
200105017,"EJEMPLO 3:
INPUT:
Nombre: CZ PRINTS EDP CC 30 ML
Grupo: Cosméticos
Categoría: Fragancias
Marca: Cyzone. Cyzone es una marca de belleza accesible de alta calidad para todas las mujeres jóvenes de Latinoamérica que aman compartir a través de la belleza, que les gusta experimentar y estar a la vanguardia con las últimas tendencias.

OUTPUT:
🌹 ¡Exprésate con audacia con CZ Prints EDP CC 30 ML! 🌹
Nombre: CZ PRINTS EDP CC 30 ML. Un perfume envolvente y audaz, creado para la mujer joven e innovadora que desea destacarse y reflejar su personalidad vibrante a través de un aroma inolvidable.
Uso: Ideal para aquellos momentos en los que deseas dejar una impresión duradera, este perfume es el complemento perfecto para tu estilo único, ya sea en una cita romántica o en un evento especial.
Palabras clave: CZ Prints EDP, Fragancias, Cosméticos, Cyzone, Belleza Accesible, Alta Calidad, Mujeres Jóvenes, Latino"
200039855,"🔥 ¡Impulsa tu esencia con CZ Nitro EDT 100 ML! 🔥
Nombre: CZ NITRO EDT 100 ML. Una fragancia cautivadora y energética, elaborada para la mujer audaz que busca dejar su huella con un aroma inolvidable.
Uso: Ideal para cualquier momento del día, ya sea en una reunión importante o en una salida casual, CZ Nitro te proporcionará un aroma duradero y vibrante.
Palabras clave: CZ Nitro, Fragancias, Cosméticos, Cyzone, Belleza Accesible, Alta Calidad, Mujeres Jóvenes, Latinoamérica, Aroma Inolvidable, Energetica."
200108047,"💅 ¡Luce irresistiblemente radiante con CZ Berryli Berry Col EDL 200ML! 💅
Nombre: CZ BERRYLI BERRY COL EDL 200ML. Una fragancia embriagadora y dulce, que captura la esencia de las bayas frescas, diseñada para mujeres jóvenes que buscan un aroma auténtico y atrevido.
Uso: Perfecta para cualquier ocasión, esta fragancia es tu aliada para destacar entre la multitud, brindándote un aroma cautivador y duradero.
Palabras clave: CZ Berryli Berry, Fragancias, Cosméticos, Cyzone, Belleza Accesible, Alta Calidad, Mujeres Jóvenes, Latinoamérica, Aroma Auténtico, Atrevido."
